Subject,Trial,Jar,Bead,Response,Confidence,Correct,History
5ebd,93,1,1,1,1,1,01110011111
5ebd,94,1,0,1,1,0,01100111111
5ebd,95,0,0,0,1,1,01001111110
5ebd,96,0,0,0,1,1,00011111100
5ebd,97,0,0,0,1,1,00111111000
5ebd,98,0,0,0,1,1,01111110000
5ebd,99,1,1,0,1,0,01111100000
5ebd,100,1,0,1,1,0,01111000001
5ebd,101,0,0,0,1,1,01110000010
5ebd,102,0,1,0,1,0,01100000100
5ebd,103,0,0,1,1,0,01000001001
5ebd,104,0,0,0,1,1,00000010010
5ebd,105,1,0,0,1,1,00000100100
5ebd,106,1,1,0,1,0,00001001000
5ebd,107,1,1,1,1,1,00010010001
5ebd,108,1,1,1,1,1,00100100011
5ebd,109,1,0,1,1,0,01001000111
5ebd,110,1,1,0,1,0,00010001110
5ebd,111,1,1,1,1,1,00100011101
5ebd,112,1,0,1,1,0,01000111011
5ebd,113,1,1,0,1,0,00001110110
5ebd,114,1,1,1,1,1,00011101101
5ebd,115,0,0,1,1,0,00111011011
5ebd,116,0,0,0,1,1,01110110110
5ebd,117,0,0,0,1,1,01101101100
5ebd,118,0,0,0,1,1,01011011000
5ebd,119,0,0,0,1,1,00110110000
5ebd,120,0,1,0,1,0,01101100000
5ebd,121,1,1,1,1,1,01011000001
5ebd,122,0,0,1,1,0,00110000011
5ebd,123,0,0,0,1,1,01100000110
5ebd,124,0,0,0,1,1,01000001100
5ebd,125,0,0,0,1,1,00000011000
5ebd,126,0,0,0,1,1,00000110000
5ebd,127,0,0,0,1,1,00001100000
5ebd,128,0,0,0,1,1,00011000000
5ebd,129,1,1,0,1,0,00110000000
5ebd,130,1,0,1,1,0,01100000001
5ebd,131,1,1,0,1,0,01000000010
5ebd,132,1,0,1,1,0,00000000101
5ebd,133,1,1,0,1,0,00000001010
5ebd,134,1,1,1,1,1,00000010101
5ebd,135,0,0,1,1,0,00000101011
5ebd,136,0,0,0,1,1,00001010110
5ebd,137,0,0,0,1,1,00010101100
5ebd,138,0,0,0,1,1,00101011000
5ebd,139,0,1,0,1,0,01010110000
5ebd,140,0,0,1,1,0,00101100001
5ebd,141,0,0,0,1,1,01011000010
5ebd,142,0,0,0,1,1,00110000100
5ebd,143,0,0,0,1,1,01100001000
5ebd,144,0,0,0,1,1,01000010000
5ebd,145,0,0,0,1,1,00000100000
5ebd,146,0,1,0,1,0,00001000000
5ebd,147,1,1,1,1,1,00010000001
5ebd,148,1,1,1,1,1,00100000011
5ebd,149,1,1,1,1,1,01000000111
5ebd,150,1,1,1,1,1,00000001111
5ebd,151,1,0,1,1,0,00000011111
5ebd,152,1,1,0,1,0,00000111110
5ebd,153,1,1,1,1,1,00001111101
5ebd,154,1,1,1,1,1,00011111011
5ebd,155,1,0,1,1,0,00111110111
5ebd,156,1,1,0,1,0,01111101110
5ebd,157,1,1,1,1,1,01111011101
5ebd,158,0,0,1,1,0,01110111011
5ebd,159,0,0,0,1,1,01101110110
5ebd,160,0,0,0,1,1,01011101100
5ebd,161,0,1,0,1,0,00111011000
5ebd,162,1,1,1,1,1,01110110001
5ebd,163,1,1,1,1,1,01101100011
5ebd,164,1,1,1,1,1,01011000111
5ebd,165,1,0,1,1,0,00110001111
5ebd,166,1,1,0,1,0,01100011110
5ebd,167,1,1,1,1,1,01000111101
5ebd,168,0,0,1,1,0,00001111011
5ebd,169,0,0,0,1,1,00011110110
5ebd,170,0,0,0,1,1,00111101100
5ebd,171,1,1,0,1,0,01111011000
5ebd,172,1,1,1,1,1,01110110001
5ebd,173,1,0,1,1,0,01101100011
5ebd,174,1,0,0,1,1,01011000110
5ebd,175,0,0,0,1,1,00110001100
5ebd,176,0,0,0,1,1,01100011000
5ebd,177,1,1,0,1,0,01000110000
5ebd,178,1,1,1,1,1,00001100001
5ebd,179,1,1,1,1,1,00011000011
5ebd,180,1,1,1,1,1,00110000111
5ebd,181,1,1,1,1,1,01100001111
5ebd,182,1,1,1,1,1,01000011111
5ebd,183,1,1,1,1,1,00000111111
5ebd,184,1,1,1,1,1,00001111111
5ebd,185,1,1,1,1,1,00011111111
5ebd,186,1,1,1,1,1,00111111111
5ebd,187,0,0,1,1,0,01111111111
5ebd,188,0,0,0,1,1,01111111110
5ebd,189,0,0,0,1,1,01111111100
5ebd,190,0,0,0,1,1,01111111000
5ebd,191,0,0,0,1,1,01111110000
5ebd,192,0,0,0,1,1,01111100000
5ebd,193,0,0,0,1,1,01111000000
5ebd,194,0,0,0,1,1,01110000000
5ebd,195,0,0,0,1,1,01100000000
5ebd,196,0,1,0,1,0,01000000000
5ebd,197,0,0,1,1,0,00000000001
5ebd,198,0,0,0,1,1,00000000010
5ebd,199,0,0,0,1,1,00000000100
5ebd,200,0,0,0,1,1,00000001000
5ebd,201,0,1,0,1,0,00000010000
5ebd,202,0,0,1,1,0,00000100001
5ebd,203,0,0,0,1,1,00001000010
5ebd,204,0,0,0,1,1,00010000100
5ebd,205,0,0,0,1,1,00100001000
5ebd,206,0,0,0,1,1,01000010000
5ebd,207,1,1,0,1,0,00000100000
5ebd,208,1,1,1,1,1,00001000001
5ebd,209,1,1,1,1,1,00010000011
5ebd,210,1,1,1,1,1,00100000111
5ebd,211,1,1,1,1,1,01000001111
5ebd,212,1,0,1,1,0,00000011111
5ebd,213,1,1,0,1,0,00000111110
5ebd,214,1,0,1,1,0,00001111101
5ebd,215,1,1,0,1,0,00011111010
5ebd,216,1,1,1,1,1,00111110101
5ebd,217,1,1,1,1,1,01111101011
5ebd,218,1,1,1,1,1,01111010111
5ebd,219,1,0,1,1,0,01110101111
5ebd,220,1,1,0,1,0,01101011110
5ebd,221,1,0,1,1,0,01010111101
5ebd,222,1,0,0,1,1,00101111010
5ebd,223,1,1,0,1,0,01011110100
5ebd,224,1,1,1,1,1,00111101001
5ebd,225,1,1,1,1,1,01111010011
5ebd,226,0,0,1,1,0,01110100111
5ebd,227,0,0,0,1,1,01101001110
5ebd,228,0,1,0,1,0,01010011100
5ebd,229,0,0,1,1,0,00100111001
5ebd,230,0,0,0,1,1,01001110010
5ebd,231,0,0,0,1,1,00011100100
5ebd,232,1,1,0,1,0,00111001000
5ebd,233,1,1,1,1,1,01110010001
5ebd,234,0,0,1,1,0,01100100011
5ebd,235,0,0,0,1,1,01001000110
5ebd,236,0,0,0,1,1,00010001100
5ebd,237,0,0,0,1,1,00100011000
5ebd,238,0,0,0,1,1,01000110000
5ebd,239,0,0,0,1,1,00001100000
5ebd,240,0,1,0,1,0,00011000000
5ebd,241,0,0,1,1,0,00110000001
5ebd,242,0,0,0,1,1,01100000010
5ebd,243,0,0,0,1,1,01000000100
5ebd,244,1,1,0,1,0,00000001000
5ebd,245,1,1,1,1,1,00000010001
5ebd,246,0,0,1,1,0,00000100011
5ebd,247,0,0,0,1,1,00001000110
5ebd,248,0,1,0,1,0,00010001100
5ebd,249,0,0,1,1,0,00100011001
5ebd,250,0,0,0,1,1,01000110010
5ebd,251,0,0,0,1,1,00001100100
5ebd,252,0,0,0,1,1,00011001000
5ebd,253,0,0,0,1,1,00110010000
5ebd,254,0,0,0,1,1,01100100000
5ebd,255,0,1,0,1,0,01001000000
5ebd,256,0,0,1,1,0,00010000001
5ebd,257,0,0,0,1,1,00100000010
5ebd,258,0,0,0,1,1,01000000100
5ebd,259,0,0,0,1,1,00000001000
5ebd,260,0,0,0,1,1,00000010000
5ebd,261,0,0,0,1,1,00000100000
5ebd,262,0,0,0,1,1,00001000000
5ebd,263,0,1,0,1,0,00010000000
5ebd,264,0,0,1,1,0,00100000001
5ebd,265,0,0,0,1,1,01000000010
5ebd,266,0,1,0,1,0,00000000100
5ebd,267,0,0,1,1,0,00000001001
5ebd,268,0,0,0,1,1,00000010010
5ebd,269,0,0,0,1,1,00000100100
5ebd,270,0,1,0,1,0,00001001000
5ebd,271,0,0,0,1,1,00010010001
5ebd,272,0,0,0,1,1,00100100010
5ebd,273,0,0,0,1,1,01001000100
5ebd,274,0,1,0,1,0,00010001000
5ebd,275,0,0,0,1,1,00100010001
5ebd,276,0,0,0,1,1,01000100010
5ebd,277,0,0,0,1,1,00001000100
5ebd,278,0,1,0,1,0,00010001000
5ebd,279,1,1,0,1,0,00100010001
5ebd,280,1,1,1,1,1,01000100011
5ebd,281,0,0,1,1,0,00001000111
5ebd,282,0,0,0,1,1,00010001110
5ebd,283,0,0,0,1,1,00100011100
5ebd,284,0,0,0,1,1,01000111000
5ebd,285,0,0,0,1,1,00001110000
5ebd,286,0,0,0,1,1,00011100000
5ebd,287,0,0,0,1,1,00111000000
5ebd,288,0,1,0,1,0,01110000000
5ebd,289,0,0,0,1,1,01100000001
5ebd,290,0,1,0,1,0,01000000010
5ebd,291,0,1,0,1,0,00000000101
5ebd,292,0,1,1,1,1,00000001011
5ebd,293,0,0,1,1,0,00000010111
5ebd,294,0,0,1,1,0,00000101110
5ebd,295,0,0,0,1,1,00001011100
5ebd,296,0,0,0,1,1,00010111000
5ebd,297,0,1,0,1,0,00101110000
5ebd,298,0,1,0,1,0,01011100001
5ebd,299,0,0,1,1,0,00111000011
5ebd,300,0,0,0,1,1,01110000110
5ebd,301,0,0,0,1,1,01100001100
5ebd,302,0,1,0,1,0,01000011000
5ebd,303,0,0,1,1,0,00000110001
5ebd,304,0,0,0,1,1,00001100010
5ebd,305,0,0,0,1,1,00011000100
5ebd,306,0,0,0,1,1,00110001000
5ebd,307,0,1,0,1,0,01100010000
5ebd,308,1,1,0,1,0,01000100001
5ebd,309,1,1,1,1,1,00001000011
5ebd,310,1,1,1,1,1,00010000111
5ebd,311,1,1,1,1,1,00100001111
5ebd,312,1,1,1,1,1,01000011111
5ebd,313,1,1,1,1,1,00000111111
5ebd,314,1,1,1,1,1,00001111111
5ebd,315,1,1,1,1,1,00011111111
5ebd,316,0,0,1,1,0,00111111111
5ebd,317,0,0,1,1,0,01111111110
5ebd,318,0,0,0,1,1,01111111100
5ebd,319,0,0,0,1,1,01111111000
5ebd,320,0,0,0,1,1,01111110000
5ebd,321,0,0,0,1,1,01111100000
5ebd,322,0,0,0,1,1,01111000000
5ebd,323,0,0,0,1,1,01110000000
5ebd,324,1,1,0,1,0,01100000000
5ebd,325,1,1,0,1,0,01000000001
5ebd,326,1,0,1,1,0,00000000011
5ebd,327,1,0,0,1,1,00000000110
5ebd,328,1,1,0,1,0,00000001100
5ebd,329,1,1,0,1,0,00000011001
5ebd,330,1,1,1,1,1,00000110011
5ebd,331,1,1,1,1,1,00001100111
5ebd,332,1,1,1,1,1,00011001111
5ebd,333,0,1,1,1,1,00110011111
5ebd,334,1,1,1,1,1,01100111111
5ebd,335,1,1,1,1,1,01001111111
5ebd,336,1,1,1,1,1,00011111111
5ebd,337,1,1,1,1,1,00111111111
5ebd,338,1,0,1,1,0,01111111111
5ebd,339,1,1,0,1,0,01111111110
5ebd,340,1,1,1,1,1,01111111101
5ebd,341,1,1,1,1,1,01111111011
5ebd,342,1,1,1,1,1,01111110111
5ebd,343,1,0,1,1,0,01111101111
5ebd,344,1,1,1,1,1,01111011110
5ebd,345,1,1,1,1,1,01110111101
5ebd,346,1,1,1,1,1,01101111011
5ebd,347,1,1,1,1,1,01011110111
5ebd,348,1,0,1,1,0,00111101111
5ebd,349,1,1,1,1,1,01111011110
5ebd,350,1,1,1,1,1,01110111101
5ebd,351,1,1,1,1,1,01101111011
5ebd,352,1,0,1,1,0,01011110111
5ebd,353,1,1,1,1,1,00111101110
5ebd,354,1,1,1,1,1,01111011101
5ebd,355,1,1,1,1,1,01110111011
5ebd,356,1,0,1,1,0,01101110111
5ebd,357,1,1,1,1,1,01011101110
5ebd,358,1,1,1,1,1,00111011101
5ebd,359,1,1,1,1,1,01110111011
5ebd,360,1,1,1,1,1,01101110111
5ebd,361,1,1,1,1,1,01011101111
5ebd,362,0,0,1,1,0,00111011111
5ebd,363,0,0,1,1,0,01110111110
5ebd,364,0,0,0,1,1,01101111100
5ebd,365,1,0,0,1,1,01011111000
5ebd,366,1,1,0,1,0,00111110000
5ebd,367,1,1,0,1,0,01111100001
5ebd,368,1,1,1,1,1,01111000011
5ebd,369,1,1,1,1,1,01110000111
5ebd,370,1,1,1,1,1,01100001111
5ebd,371,1,1,1,1,1,01000011111
5ebd,372,0,0,1,1,0,00000111111
5ebd,373,0,1,0,1,0,00001111110
5ebd,374,0,1,1,1,1,00011111101
5ebd,375,0,0,1,1,0,00111111011
5ebd,376,0,0,1,1,0,01111110110
5ebd,377,0,1,0,1,0,01111101100
5ebd,378,0,0,1,1,0,01111011001
5ebd,379,0,0,0,1,1,01110110010
5ebd,380,0,0,0,1,1,01101100100
5ebd,381,1,1,0,1,0,01011001000
5ebd,382,1,1,0,1,0,00110010001
5ebd,383,1,0,1,1,0,01100100011
5ebd,384,1,1,1,1,1,01001000110
5ebd,385,1,1,1,1,1,00010001101
5ebd,386,1,0,1,1,0,00100011011
5ebd,387,1,1,1,1,1,01000110110
5ebd,388,1,1,1,1,1,00001101101
5ebd,389,1,1,1,1,1,00011011011
5ebd,390,0,1,1,1,1,00110110111
5ebd,391,0,0,1,1,0,01101101111
5ebd,392,0,0,0,1,1,01011011110
5ebd,393,1,1,0,1,0,00110111100
5ebd,394,1,1,0,1,0,01101111001
5ebd,395,1,1,1,1,1,01011110011
5ebd,396,1,1,1,1,1,00111100111
5ebd,397,1,1,1,1,1,01111001111
5ebd,398,1,1,1,1,1,01110011111
5ebd,399,1,1,1,1,1,01100111111
5ebd,400,1,1,1,1,1,01001111111
5ebd,401,1,0,1,1,0,00011111111
5ebd,402,0,0,1,1,0,00111111110
5ebd,403,0,0,0,1,1,01111111100
5ebd,404,0,0,0,1,1,01111111000
5ebd,405,0,0,0,1,1,01111110000
5ebd,406,0,1,0,1,0,01111100000
5ebd,407,0,0,0,1,1,01111000001
5ebd,408,0,0,0,1,1,01110000010
5ebd,409,1,1,0,1,0,01100000100
5ebd,410,1,0,1,1,0,01000001001
5ebd,411,1,0,0,1,1,00000010010
5ebd,412,0,0,0,1,1,00000100100
5ebd,413,0,0,0,1,1,00001001000
5ebd,414,0,0,0,1,1,00010010000
5ebd,415,0,0,0,1,1,00100100000
5ebd,416,0,0,0,1,1,01001000000
5ebd,417,0,0,0,1,1,00010000000
5ebd,418,0,0,0,1,1,00100000000
5ebd,419,0,0,0,1,1,01000000000
5ebd,420,0,1,0,1,0,00000000000
5ebd,421,1,1,0,1,0,00000000001
5ebd,422,1,0,1,1,0,00000000011
5ebd,423,1,0,0,1,1,00000000110
5ebd,424,0,0,0,1,1,00000001100
5ebd,425,0,1,0,1,0,00000011000
5ebd,426,0,1,0,1,0,00000110001
5ebd,427,0,1,0,1,0,00001100011
5ebd,428,0,1,1,1,1,00011000111
5ebd,429,0,0,1,1,0,00110001111
5ebd,430,0,0,0,1,1,01100011110
5ebd,431,0,0,0,1,1,01000111100
5ebd,432,0,0,0,1,1,00001111000
5ebd,433,0,0,0,1,1,00011110000
5ebd,434,0,0,0,1,1,00111100000
5ebd,435,0,0,0,1,1,01111000000
5ebd,436,0,0,0,1,1,01110000000
5ebd,437,0,0,0,1,1,01100000000
5ebd,438,0,0,0,1,1,01000000000
5ebd,439,0,1,0,1,0,00000000000
5ebd,440,0,0,1,1,0,00000000001
5ebd,441,0,0,0,1,1,00000000010
5ebd,442,0,0,0,1,1,00000000100
5ebd,443,0,1,0,1,0,00000001000
5ebd,444,0,0,0,1,1,00000010001
5ebd,445,1,0,0,1,1,00000100010
5ebd,446,1,1,0,1,0,00001000100
5ebd,447,1,1,0,1,0,00010001001
5ebd,448,1,1,1,1,1,00100010011
5ebd,449,1,1,1,1,1,01000100111
5ebd,450,1,1,1,1,1,00001001111
5ebd,451,1,1,1,1,1,00010011111
5ebd,452,1,1,1,1,1,00100111111
5ebd,453,1,1,1,1,1,01001111111
5ebd,454,1,0,1,1,0,00011111111
5ebd,455,1,0,1,1,0,00111111110
5ebd,456,1,0,0,1,1,01111111100
5ebd,457,1,1,0,1,0,01111111000
5ebd,458,1,1,0,1,0,01111110001
5ebd,459,1,1,1,1,1,01111100011
5ebd,460,1,1,1,1,1,01111000111
5ebd,461,1,1,1,1,1,01110001111
5ebd,462,1,0,1,1,0,01100011111
5ebd,463,1,0,0,1,1,01000111110
5ebd,464,1,1,0,1,0,00001111100
5ebd,465,1,1,0,1,0,00011111001
5ebd,466,1,1,1,1,1,00111110011
5ebd,467,1,1,1,1,1,01111100111
5ebd,468,1,1,1,1,1,01111001111
5ebd,469,1,0,1,1,0,01110011111
5ebd,470,1,1,0,1,0,01100111110
5ebd,471,1,1,1,1,1,01001111101
5ebd,472,1,1,1,1,1,00011111011
5ebd,473,0,0,1,1,0,00111110111
5ebd,474,0,1,1,1,1,01111101110
5ebd,475,0,0,1,1,0,01111011101
5ebd,476,0,1,1,1,1,01110111010
5ebd,477,0,1,1,1,1,01101110101
5ebd,478,0,0,1,1,0,01011101011
5ebd,479,1,1,1,1,1,00111010110
5ebd,480,1,1,1,1,1,01110101101
5ebd,481,1,0,1,1,0,01101011011
5ebd,482,1,1,1,1,1,01010110110
5ebd,483,1,0,1,1,0,00101101101
5ebd,484,1,1,1,1,1,01011011010
5ebd,485,1,0,1,1,0,00110110101
5ebd,486,1,1,1,1,1,01101101010
5ebd,487,1,0,1,1,0,01011010101
5ebd,488,1,1,1,1,1,00110101010
5ebd,489,1,1,0,1,0,01101010101
5ebd,490,1,0,1,1,0,01010101011
5ebd,491,1,1,0,1,0,00101010110
5ebd,492,1,1,1,1,1,01010101101
5ebd,493,1,0,1,1,0,00101011011
5ebd,494,1,1,1,1,1,01010110110
5ebd,495,1,1,1,1,1,00101101101
5ebd,496,1,1,1,1,1,01011011011
5ebd,497,1,1,1,1,1,00110110111
5ebd,498,1,1,1,1,1,01101101111
5ebd,499,0,1,1,1,1,01011011111
5ebd,500,0,0,1,1,0,00110111111
5ebd,501,1,1,1,1,1,01101111110
5ebd,502,1,0,1,1,0,01011111101
5ebd,503,1,1,1,1,1,00111111010
5ebd,504,1,1,1,1,1,01111110101
5ebd,505,1,1,1,1,1,01111101011
5ebd,506,1,1,1,1,1,01111010111
5ebd,507,1,1,1,1,1,01110101111
5ebd,508,1,1,1,1,1,01101011111
5ebd,509,1,1,1,1,1,01010111111
5ebd,510,1,1,1,1,1,00101111111
5ebd,511,1,1,1,1,1,01011111111
5ebd,512,0,1,1,1,1,00111111111
5ebd,513,0,0,1,1,0,01111111111
5ebd,514,0,0,0,1,1,01111111110
5ebd,515,0,0,0,1,1,01111111100
5ebd,516,1,1,0,1,0,01111111000
5ebd,517,1,0,1,1,0,01111110001
5ebd,518,1,0,0,1,1,01111100010
5ebd,519,1,1,0,1,0,01111000100
5ebd,520,1,1,0,1,0,01110001001
5ebd,521,1,0,1,1,0,01100010011
5ebd,522,1,0,0,1,1,01000100110
5ebd,523,1,1,0,1,0,00001001100
5ebd,524,1,0,1,1,0,00010011001
5ebd,525,1,1,0,1,0,00100110010
5ebd,526,1,1,0,1,0,01001100101
5ebd,527,1,1,1,1,1,00011001011
5ebd,528,1,1,1,1,1,00110010111
5ebd,529,1,0,1,1,0,01100101111
5ebd,530,1,1,1,1,1,01001011110
5ebd,531,1,1,1,1,1,00010111101
5ebd,532,1,1,1,1,1,00101111011
5ebd,533,1,1,1,1,1,01011110111
5ebd,534,0,0,1,1,0,00111101111
5ebd,535,0,0,1,1,0,01111011110
5ebd,536,1,1,0,1,0,01110111100
5ebd,537,1,1,0,1,0,01101111001
5ebd,538,1,1,1,1,1,01011110011
5ebd,539,1,0,1,1,0,00111100111
5ebd,540,1,1,1,1,1,01111001110
5ebd,541,1,0,1,1,0,01110011101
5ebd,542,0,0,1,1,0,01100111010
5ebd,543,0,0,0,1,1,01001110100
5ebd,544,0,0,0,1,1,00011101000
5ebd,545,0,0,0,1,1,00111010000
5ebd,546,0,0,0,1,1,01110100000
5ebd,547,0,1,0,1,0,01101000000
5ebd,548,0,0,0,1,1,01010000001
5ebd,549,0,0,0,1,1,00100000010
5ebd,550,0,0,0,1,1,01000000100
5ebd,551,1,1,0,1,0,00000001000
5ebd,552,1,0,0,1,1,00000010001
5ebd,553,1,1,0,1,0,00000100010
5ebd,554,1,0,0,1,1,00001000101
5ebd,555,1,1,0,1,0,00010001010
5ebd,556,1,1,0,1,0,00100010101
5ebd,557,1,1,1,1,1,01000101011
5ebd,558,1,1,1,1,1,00001010111
5ebd,559,0,0,1,1,0,00010101111
5ebd,560,0,1,1,1,1,00101011110
5ebd,561,0,0,1,1,0,01010111101
5ebd,562,0,0,1,1,0,00101111010
5ebd,563,0,0,0,1,1,01011110100
5ebd,564,0,0,0,1,1,00111101000
5ebd,565,0,0,0,1,1,01111010000
5ebd,566,0,1,0,1,0,01110100000
5ebd,567,1,1,0,1,0,01101000001
5ebd,568,1,0,1,1,0,01010000011
5ebd,569,1,0,0,1,1,00100000110
5ebd,570,1,1,0,1,0,01000001100
5ebd,571,1,1,0,1,0,00000011001
5ebd,572,1,1,1,1,1,00000110011
5ebd,573,1,1,1,1,1,00001100111
5ebd,574,1,1,1,1,1,00011001111
5ebd,575,1,1,1,1,1,00110011111
5ebd,576,1,1,1,1,1,01100111111
5ebd,577,1,1,1,1,1,01001111111
5ebd,578,1,1,1,1,1,00011111111
5ebd,579,1,1,1,1,1,00111111111
5ebd,580,1,1,1,1,1,01111111111
5ebd,581,1,1,1,1,1,01111111111
5ebd,582,0,0,1,1,0,01111111111
5ebd,583,0,0,1,1,0,01111111110
5ebd,584,1,1,0,1,0,01111111100
5ebd,585,1,1,0,1,0,01111111001
5ebd,586,1,1,1,1,1,01111110011
5ebd,587,1,1,1,1,1,01111100111
5ebd,588,1,1,1,1,1,01111001111
5ebd,589,1,1,1,1,1,01110011111
5ebd,590,1,1,1,1,1,01100111111
5ebd,591,1,1,1,1,1,01001111111
5ebd,592,1,0,1,1,0,00011111111
5ebd,593,1,0,1,1,0,00111111110
5ebd,594,1,0,0,1,1,01111111100
5ebd,595,1,1,0,1,0,01111111000
5ebd,596,1,0,1,1,0,01111110001
5ebd,597,1,1,0,1,0,01111100010
5ebd,598,1,1,0,1,0,01111000101
5ebd,599,1,1,1,1,1,01110001011
5ebd,600,1,1,1,1,1,01100010111
5ebd,601,1,0,1,1,0,01000101111
5ebd,602,0,0,1,1,0,00001011110
5ebd,603,0,0,0,1,1,00010111100
5ebd,604,0,0,0,1,1,00101111000
5ebd,605,0,0,0,1,1,01011110000
5ebd,606,0,0,0,1,1,00111100000
5ebd,607,0,1,0,1,0,01111000000
5ebd,608,0,0,0,1,1,01110000001
5ebd,609,0,0,0,1,1,01100000010
5ebd,610,0,1,0,1,0,01000000100
5ebd,611,0,0,0,1,1,00000001001
5ebd,612,0,0,0,1,1,00000010010
5ebd,613,0,0,0,1,1,00000100100
5ebd,614,0,0,0,1,1,00001001000
5ebd,615,0,0,0,1,1,00010010000
5ebd,616,0,0,0,1,1,00100100000
5ebd,617,0,0,0,1,1,01001000000
5ebd,618,1,1,0,1,0,00010000000
5ebd,619,1,1,0,1,0,00100000001
5ebd,620,1,1,1,1,1,01000000011
5ebd,621,1,1,1,1,1,00000000111
5ebd,622,1,1,1,1,1,00000001111
5ebd,623,1,1,1,1,1,00000011111
5ebd,624,1,1,1,1,1,00000111111
5ebd,625,1,0,1,1,0,00001111111
5ebd,626,0,0,1,1,0,00011111110
5ebd,627,0,0,0,1,1,00111111100
5ebd,628,1,1,0,1,0,01111111000
5ebd,629,1,1,1,1,1,01111110001
5ebd,630,0,0,1,1,0,01111100011
5ebd,631,0,1,0,1,0,01111000110
5ebd,632,0,1,0,1,0,01110001101
5ebd,633,0,0,1,1,0,01100011011
5ebd,634,0,0,1,1,0,01000110110
5ebd,635,0,0,1,1,0,00001101100
5ebd,636,1,1,0,1,0,00011011000
5ebd,637,1,1,0,1,0,00110110001
5ebd,638,1,1,1,1,1,01101100011
5ebd,639,1,1,1,1,1,01011000111
5ebd,640,1,1,1,1,1,00110001111
5ebd,641,1,1,1,1,1,01100011111
5ebd,642,1,1,1,1,1,01000111111
